id,entity,lat,lon,display_name,source,confidence
a8de520ee8c9,Utanför,55.618536,13.036128,"E.ON Parkeringen utanför Wihlborgs, Brännögatan, Östra Hamnen, Norr, Malmö, Malmö kommun, Skåne län, 211 31, Sverige",https://www.flashback.org/t750391p2,0.64
490204263c5b,Trevligt,59.3251256,18.0691375,"Trångt & trevligt, Överskärargränd, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 28, Sverige",https://www.flashback.org/t750391p2,0.64
ac7182192238,Väntar,59.2087419,17.7323603,"Torpet Friokulla - Gå i piliens riktning till ängens slut. Där väntar en ny röd pil., Hallstavägen, Nytorp, Rönninge, Salems kommun, Stockholms län, 144 61, Sverige",https://www.flashback.org/t750391p2,0.64
79e921b4e6b3,Värnet,57.1872436,14.0373248,"Värnet, Värnamo, Värnamo kommun, Jönköpings län, 331 22, Sverige",https://www.flashback.org/t750391p2,0.64
22aef92a337d,Bulldog,60.6610205,12.9609891,"The French Bulldog In, Myrvägen, Dalby distrikt, Torsby kommun, Värmlands län, 680 60, Sverige",https://www.flashback.org/t750391p2,0.72
d86d2f110e00,Bör,57.1157565,14.1691755,"Bor, Stationsvägen, Bor, Värnamo kommun, Jönköpings län, 330 15, Sverige",https://www.flashback.org/t750391p2,0.72
13ae5525600b,Dock,57.7192763,11.9768027,"Dock 1, Kvillebäcken, Hisingen, Göteborg, Göteborgs Stad, Västra Götalands län, Sverige",https://www.flashback.org/t1413347,0.64
9dba213aed8b,Ville,59.3274942,18.0542148,"Stockholms stadshus, 1, Hantverkargatan, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 52, Sverige",https://www.flashback.org/t750391p2,0.72
918c97ae95f8,Går,59.2945833,18.0776828,"Vi går till Marie, Konstgjutarvägen, Johanneshov, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 121 44, Sverige",https://www.flashback.org/t435500,0.48
e0fbe4fe5594,Kilar,60.6041413,17.2209149,"Kilarvägen, Gävle kommun, Gävleborgs län, 805 92, Sverige",https://www.flashback.org/t750391p2,0.72
eb4c1d2dd4b3,Edit,57.687787,11.9794949,"Elektro-, Data- och IT-teknik, Hörsalsvägen, Johanneberg, Centrum, Göteborg, Göteborgs Stad, Västra Götalands län, 412 58, Sverige",https://www.flashback.org/t359143,0.84
0f7c62a05273,Stockholm,59.3251172,18.0710935,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",https://www.flashback.org/t3074043p2,0.72
3ab7f41cbcbd,Vitsippsdalen,57.6823177,11.9550133,"Vitsippsdalen, Änggården, Centrum, Göteborg, Göteborgs Stad, Västra Götalands län, 413 46, Sverige",https://www.flashback.org/t3729252,0.56
7221700b4ec1,Göteborg,57.7072326,11.9670171,"Göteborg, Göteborgs Stad, Västra Götalands län, 411 10, Sverige",https://www.flashback.org/t19834,0.48
eb984dda2c47,Äventyr,57.72505,11.952557,"El-ge sportfiske & äventyr, Deltavägen, Backaplan, Kvillebäcken, Hisingen, Göteborg, Göteborgs Stad, Västra Götalands län, 417 30, Sverige",https://www.flashback.org/t3729252,0.56
2da8d91f81d6,Nyland,63.0085095,17.7570693,"Nyland, Ytterlännäs distrikt, Kramfors kommun, Västernorrlands län, 873 50, Sverige",https://www.flashback.org/t3618848,0.48
d37cda983bca,Väja,62.9782314,17.6926592,"Väja, Ytterlännäs distrikt, Kramfors kommun, Västernorrlands län, 873 50, Sverige",https://www.flashback.org/t3618848,0.48
80641b8d4d90,Kramfors,62.916667,17.666667,"Kramfors kommun, Västernorrlands län, Sverige",https://www.flashback.org/t3618848,0.56
ff9300959c00,Vart,59.3242841,18.1040474,"Vårt Afrika, Sollidsbacken, Djurgårdsstaden, Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 21, Sverige",https://www.flashback.org/t3618848,0.56
6c0353b42d77,Inne,59.2724461,15.2162386,"CE inne ute, Engelbrektsgatan, Eklunda, Örebro, Örebro kommun, Örebro län, 702 12, Sverige",https://www.flashback.org/t3618848,0.72
95e2508e79bd,Mycket,59.224479,17.8056783,"Mycket svag stig, Skårdal, Tumba, Botkyrka kommun, Stockholms län, 147 43, Sverige",https://www.flashback.org/t359143,0.84
